net,length_um
_06258_,33.8
_00381_,33.78
_01380_,33.78
_06264_,33.78
_01574_,33.76
_02953_,33.76
_00616_,33.75
_01929_,33.74
_02634_,33.7
acc\[4\]\[17\],33.68
_00221_,33.56
_00230_,33.56
_04312_,33.54
acc\[6\]\[17\],33.5
_00194_,33.46
_02971_,33.36
_06797_,33.34
_04950_,33.32
_07114_,33.28
_01336_,33.16
_01813_,33.14
_01736_,33.13
_03109_,33.04
_04142_,33.04
_01839_,33
_01744_,32.96
_01662_,32.88
acc\[9\]\[27\],32.88
acc\[6\]\[23\],32.86
_07198_,32.84
_04093_,32.76
_04135_,32.73
_05798_,32.72
_01946_,32.68
_05641_,32.66
_04478_,32.62
_01590_,32.6
acc\[3\]\[8\],32.6
_04582_,32.46
_01857_,32.44
_01035_,32.34
acc\[5\]\[14\],32.24
_01786_,32.22
_05919_,32.22
_03089_,32.21
_04365_,32.18
_06223_,32.18
_00216_,32.12
_01010_,32.12
_02685_,32.12
_00217_,32.08
_03260_,32
_05566_,32
_01444_,31.96
_04360_,31.94
_00094_,31.88
_03851_,31.88
_03915_,31.86
_05218_,31.82
_04571_,31.8
_05817_,31.8
acc\[7\]\[27\],31.78
_01698_,31.68
_02607_,31.66
acc\[5\]\[9\],31.66
_03407_,31.64
_03853_,31.62
_02411_,31.6
_03632_,31.6
filter_in[2],31.49
_00884_,31.46
acc\[10\]\[30\],31.4
_00866_,31.36
_00921_,31.28
acc\[0\]\[9\],31.24
_03462_,31.2
_01187_,31.18
_00972_,31.14
_04323_,31.12
_04348_,31.12
acc\[14\]\[14\],31.12
_02855_,31.05
_02449_,31.02
_04553_,31.02
_01656_,31
_02960_,30.94
_00080_,30.86
_00150_,30.86
_02952_,30.84
_03097_,30.84
_00049_,30.78
_02065_,30.76
_02594_,30.76
_01753_,30.7
acc\[8\]\[8\],30.68
_02697_,30.66
_03551_,30.66
_05552_,30.62
acc\[8\]\[6\],30.62
_03337_,30.6
_03258_,30.58
_03457_,30.56
_04383_,30.56
_05960_,30.56
acc\[4\]\[25\],30.56
_02941_,30.54
_02781_,30.53
_00027_,30.525
_01757_,30.52
acc\[10\]\[29\],30.515
_03737_,30.51
_00048_,30.5
_01841_,30.5
_03035_,30.48
_04358_,30.48
_02470_,30.44
_03413_,30.44
_04463_,30.42
_01383_,30.375
_01547_,30.35
_05755_,30.32
_05967_,30.3
_03613_,30.28
_01382_,30.23
_03309_,30.18
_03433_,30.18
acc\[3\]\[22\],30.16
